bump_region_mse,detail_amplitude,detail_amplitude_error,elapsed_seconds,flat_region_mse,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,outside_bump_mse,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,transition_mse,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
,,,0.3413517919834703,,0.9995610291734239,1.1564855691205108e-10,0.0,0.0,fixed-e4m3,,0.0,0,0.0,100,linear,-0.668358280731005,3.1280791437029407e-07,0.00014037730579730123,,0.00015315918426495045,-0.6704818372519518,0.00022788411297369748
,,,0.0024851250927895308,,,,,0.0,fixed-e5m2,,0.0,0,0.0,0,linear,,,,,0.03157657012343407,,0.0006831833743490279
,,,0.07135683414526284,,0.9981130692265938,2.7398924842383433e-08,0.0,0.0,fixed-e5m2,,0.0,0,0.0,20,linear,0.7410965893918117,6.309250614054146e-06,0.004898817744106054,,0.003891336964443326,0.742687578118033,0.0015352391637861729
,,,0.13886037515476346,,0.9989562775439784,1.374096749630595e-09,0.0,0.0,fixed-e5m2,,0.0,0,0.0,40,linear,0.14842047970267222,4.473577759605226e-06,0.0006698684301227331,,0.0005707333912141621,0.1510232441320406,0.0025035319849848747
,,,0.20696470909751952,,0.998270342761479,2.149102447294831e-10,0.0,0.0,fixed-e5m2,,0.0,0,0.0,60,linear,0.0929611330346454,9.685918502738438e-06,0.00015716077177785337,,0.00016478354518767446,0.09774967588286176,0.0026924978010356426
,,,0.27610841719433665,,0.9990096045843114,9.874124822678931e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,80,linear,0.5731461783580679,6.040981413956083e-06,0.00013443153875414282,,0.00014015418128110468,0.5765208413800046,0.00229357136413455
,,,0.34770695911720395,,0.9990929732860645,1.9198891319288652e-11,0.0,0.0,fixed-e5m2,,0.0,0,0.0,100,linear,-0.44662244427392866,5.664781097028826e-06,9.558325837133452e-05,,0.0001085060866898857,-0.44230998954047324,0.002560381544753909
,,,0.002415125025436282,,,,,0.0,fixed-hybrid,,0.0,0,0.0,0,linear,,,,,0.02696402184665203,,0.00028272633790038526
,,,0.07760449987836182,,0.9990034299914663,2.1388273907712452e-08,0.0,0.0,fixed-hybrid,,0.0,0,0.0,20,linear,0.9627263890810375,7.91336982921554e-07,0.006024005822837353,,0.005040294025093317,0.9632021368696683,0.00015892866940703243
,,,0.1452760419342667,,0.9981067563425404,1.5726416148240394e-09,0.0,0.0,fixed-hybrid,,0.0,0,0.0,40,linear,0.8058249845647375,3.04558887030013e-07,0.000254860584391281,,0.0003536863368935883,0.810196160164087,0.00018249575805384666
,,,0.21250320901162922,,0.9984756045646919,3.594536777036817e-09,0.0,0.0,fixed-hybrid,,0.0,0,0.0,60,linear,0.747405242202187,8.717096841396492e-07,0.0006335979560390115,,0.0005493470816873014,0.7485969248000913,0.0004256698885001242
,,,0.2803031250368804,,0.9988169607398204,2.356002413681375e-10,0.0,0.0,fixed-hybrid,,0.0,0,0.0,80,linear,-0.418741165439084,2.7764787241719095e-07,0.00015816233644727618,,0.00018355225620325655,-0.4200824573782361,0.00019867124501615763
,,,0.34780533402226865,,0.9986274277874281,8.936071101037784e-11,0.0,0.0,fixed-hybrid,,0.0,0,0.0,100,linear,0.01642144985054498,2.662928547803811e-07,9.067384235095233e-05,,9.828027395997196e-05,0.01397631144593463,0.00018761727551463991
,,,0.002473290776833892,,,,,0.004958665929734707,calibrated,,0.0,0,0.004958665929734707,0,linear,,,,,0.024860450997948647,,0.00013948572450317442
,,,0.07168891583569348,,0.9999110685985169,1.6412753573089113e-09,0.011476264997391758,0.004958665929734707,calibrated,,0.0,0,0.004958665929734707,20,linear,0.9784135923949877,4.227035524284156e-07,0.0049491263926029205,,0.004953873809427023,0.9784677690892868,5.546195461647585e-05
,,,0.14001483283936977,,0.9998873109336329,1.0873566570866477e-10,0.017318727177882107,0.004958665929734707,calibrated,,0.0,0,0.004958665929734707,40,linear,0.7835759923643298,3.6823780077050043e-07,0.0005165436305105686,,0.00043196635670028627,0.7838650511893438,6.013521124259569e-05
,,,0.20909174997359514,,0.9998941517763337,6.618011358833614e-11,0.012936880542514346,0.004958665929734707,calibrated,,0.0,0,0.004958665929734707,60,linear,0.6110288008297724,1.6932148028583326e-07,0.0001799351448426023,,0.0001914565364131704,0.6111949421843471,3.747530354303308e-05
,,,0.2779490409884602,,0.9999129497611804,4.9583268956645196e-12,0.011997913406364111,0.004958665929734707,calibrated,,0.0,0,0.004958665929734707,80,linear,0.39570203973568857,3.4980651364427807e-07,0.0001321425661444664,,0.00011002788960468024,0.3956446819329231,7.666739111300558e-05
