bump_region_mse,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,flat_region_mse,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,outside_bump_mse,relative_to_constant_mse,reselection_seconds,seed,selection_seconds,step,target,target_variance,total_gradient_cosine,total_gradient_mse,training_loss,transition_mse,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
,,,,9.202484625158831,0.00018777159857563674,0.9998993221430983,1.629326325651857e-10,0.012832550860719875,0.0052729579620063305,adaptive,,0.00022442002411552321,0.10151350172236562,0,0.10678645968437195,2000,plateau,0.8359577059745789,0.7265487267353955,4.497223369945862e-07,6.058487997506745e-05,0.00018690920842345804,0.00018760564853437245,0.7273292458139128,0.00010295295942341909
,1.338208676315844e-05,0.009986617913236842,1.7903382431218002,1.496738666901365,,0.9999999999999992,0.0,0.0,0.0,fp32,,0.001313904518154041,0.0,0,0.0,2000,detail,0.49235692620277405,0.9999999999999992,0.0,0.0005826061824336648,,0.0006469099898822606,0.9999999999999992,0.0
,-0.0004284218593966216,0.010428421859396622,4.909112999200376,8.571808457840234,,0.9995422051590204,9.470482990743983e-09,0.00020865936358894105,0.0,fixed-e4m3,,0.0032864312471426096,0.0,0,0.0,2000,detail,0.49235692620277405,0.547713692023237,2.902627809198134e-05,0.0014968735631555319,,0.0016180971870198846,0.5482568409492007,0.002979016164317727
,0.00020303981727920473,0.009796960182720795,2.4600279307218487,7.785324499942362,,0.9985475573326219,2.998836098982323e-08,0.0,0.0,fixed-e5m2,,0.0017683165326125795,0.0,0,0.0,2000,detail,0.49235692620277405,0.794783273877735,0.0001502677049302255,0.0006868471391499043,,0.0008706428925506771,0.7950549385239433,0.0075364927761256695
,-0.0014684706693515182,0.011468470669351518,6.37569397205047,8.98309229197912,,0.9987006317718135,1.658866464193086e-08,0.0,0.0,fixed-hybrid,,0.0022199433434708835,0.0,0,0.0,2000,detail,0.49235692620277405,0.6733058484349365,0.00014614317464260008,0.0010266881436109543,,0.0010930044809356332,0.6742410392905501,0.005154751241207123
,7.372150139417499e-05,0.009926278498605825,2.5397906832744166,8.673723499989137,,0.9999090638901755,5.161856465737481e-09,0.020448617631716223,0.005373750114813447,calibrated,,0.003590170591910528,0.0,0,0.005373750114813447,2000,detail,0.49235692620277405,0.942399758279175,8.571356749701091e-06,0.0014486294239759445,,0.0017676453571766615,0.9421710977922958,0.0010092239826917648
,0.0006079254671931267,0.009392074532806874,3.0688286962262246,7.698516834061593,,0.9999112430707757,7.142734596187069e-09,0.01992696922274387,0.005373750114813447,adaptive,,0.0026438842209228065,0.09439370897598565,0,0.0997674590907991,2000,detail,0.49235692620277405,0.85703896712562,1.291286414446666e-05,0.0014886150602251291,,0.001301734708249569,0.8563124167461439,0.0005833238246850669
0.00694580702111125,,,,1.2786563748959452,,0.9999999999999987,0.0,0.0,0.0,fp32,0.0003106495423708111,0.09076627586210337,0.0,0,0.0,2000,bump,0.004668275360018015,0.9999999999999987,0.0,0.00021306576672941446,,0.00042372196912765503,0.9999999999999987,0.0
0.011450500227510929,,,,7.599626792129129,,0.9996516078555437,4.941387092740382e-10,0.0004173187271778821,0.0,fixed-e4m3,0.0005490833427757025,0.1574155153418264,0.0,0,0.0,2000,bump,0.004668275360018015,0.7060104650235324,7.546667587152861e-07,0.000214024301385507,,0.000734858971554786,0.7097152076090876,0.0002884610730689019
0.015151272527873516,,,,7.865105458069593,,0.9985206741452396,1.521867692926522e-08,0.0,0.0,fixed-e5m2,0.0005643784534186125,0.17414565221402997,0.0,0,0.0,2000,bump,0.004668275360018015,0.46226487167182845,1.3259206648994506e-05,0.0018635656451806426,,0.0008129598572850227,0.45634708296203996,0.0031661672983318567
0.0161293875426054,,,,7.78728049993515,,0.9984845994058221,4.36508415330232e-08,0.0,0.0,fixed-hybrid,0.0005756744649261236,0.18009474022311123,0.0,0,0.0,2000,bump,0.004668275360018015,0.9554792020438945,1.2631466031291037e-06,0.0016752271912992,,0.0008407318382523954,0.9576300229733609,0.00036311938310973346
0.012608095072209835,,,,7.711925166891888,,0.9999089365974483,1.47270036600736e-10,0.030985915492957747,0.005301416851580143,calibrated,0.00034410523949190974,0.1184808023305631,0.0,0,0.005301416851580143,2000,bump,0.004668275360018015,0.5734182434893185,6.585504232785129e-07,0.0003590160340536386,,0.0005531010101549327,0.5730534438099038,0.00017068770830519497
0.012608095072209835,,,,8.145162584027275,,0.9999089365974483,1.47270036600736e-10,0.030985915492957747,0.005301416851580143,adaptive,0.00034410523949190974,0.1184808023305631,0.09991312213242054,0,0.10521453898400068,2000,bump,0.004668275360018015,0.5639278555542993,6.723421753125499e-07,0.0003590160340536386,,0.0005531010101549327,0.5635596132353631,0.00017201053560711443
