family,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step,target
silu,1.3194379806518555,-0.8254437247912089,-0.010202649359901747,0.7025826374689738,0.4955311715602875,fixed-hybrid,0.286376953125,0.5113525390625,3.5763510823016986e-05,,0,0.0003255208333333333,2000,linear
relu,1.306376338005066,-0.7163218855857849,0.01602632288510601,0.8344360589981079,0.5314127604166666,calibrated,0.2193603515625,0.4685872395833333,2.785022904087479e-05,0.0045166015625,0,0.4685872395833333,0,linear
tanh,1.175177812576294,-0.6684329708417257,0.026156616707642872,0.719892700513204,0.9222232103347778,calibrated,0.2780354817708333,0.4626057942708333,3.40029364451766e-05,,0,0.0,0,linear
silu,1.1959182024002075,-0.7845279375712076,-0.006431535196801026,0.7199676831563314,0.49788440267244977,calibrated,0.2879638671875,0.5054524739583334,9.307106968966158e-06,,0,0.0,0,linear
relu,1.4958314895629883,-0.7731789946556091,-0.0072479948091010256,0.8264812628428141,0.5016682942708334,calibrated,0.19563802083333334,0.4983317057291667,2.1198741402865078e-05,0.005859375,0,0.4983317057291667,2000,linear
tanh,1.1452147960662842,-0.6484725077946981,0.028578911907970905,0.7351785898208618,0.924069901307424,calibrated,0.2823079427083333,0.4619547526041667,3.487017177879655e-05,,0,0.0,2000,linear
silu,1.315675139427185,-0.8214092453320821,-0.009271722907821337,0.7004133065541586,0.49524998664855957,calibrated,0.2849527994791667,0.5109049479166666,1.1315474390964178e-05,,0,0.0003255208333333333,2000,linear
relu,1.306376338005066,-0.7163218855857849,0.01602632288510601,0.8344360589981079,0.5314127604166666,adaptive,0.2193603515625,0.4685872395833333,2.785022904087479e-05,0.0045166015625,0,0.4685872395833333,0,linear
tanh,1.175177812576294,-0.6684329708417257,0.026156616707642872,0.719892700513204,0.9222232103347778,adaptive,0.2780354817708333,0.4626057942708333,3.40029364451766e-05,,0,0.0,0,linear
silu,1.1959182024002075,-0.7845279375712076,-0.006431535196801026,0.7199676831563314,0.49788440267244977,adaptive,0.2879638671875,0.5054524739583334,9.307106968966158e-06,,0,0.0,0,linear
relu,1.4958314895629883,-0.7731789946556091,-0.0072479948091010256,0.8264812628428141,0.5016682942708334,adaptive,0.19563802083333334,0.4983317057291667,2.1198741402865078e-05,0.005859375,0,0.4983317057291667,2000,linear
tanh,1.1452147960662842,-0.6484725077946981,0.028578911907970905,0.7351785898208618,0.924069901307424,adaptive,0.2823079427083333,0.4619547526041667,3.487017177879655e-05,,0,0.0,2000,linear
silu,1.315675139427185,-0.8214092453320821,-0.009271722907821337,0.7004133065541586,0.49524998664855957,adaptive,0.2849527994791667,0.5109049479166666,1.1315474390964178e-05,,0,0.0003255208333333333,2000,linear
relu,1.439889669418335,-0.7716976801554362,-0.039356932044029236,0.8577795624732971,0.4836832682291667,fp32,0.22013346354166666,0.5163167317708334,0.0,0.0,0,0.5163167317708334,0,kink
tanh,1.217913269996643,-0.6350087523460388,0.04812425250808398,0.6938962340354919,0.9305272698402405,fp32,0.2999674479166667,0.4262288411458333,0.0,,0,0.0,0,kink
silu,1.0080615282058716,-0.6194645166397095,-0.009406276047229767,0.6601453423500061,0.4977184534072876,fp32,0.2917073567708333,0.5271402994791666,0.0,,0,0.0,0,kink
relu,1.5448275804519653,-0.9068402846654257,-0.03666681299606959,0.8680181503295898,0.4925537109375,fp32,0.18290201822916666,0.5074462890625,0.0,0.0,0,0.5074462890625,2000,kink
tanh,1.2287613153457642,-0.629504124323527,0.06727966666221619,0.7014162143071493,0.9304115772247314,fp32,0.2801920572916667,0.4019775390625,0.0,,0,0.0,2000,kink
silu,1.0101011991500854,-0.5949999888737997,-0.016131981275975704,0.6800925135612488,0.49765121936798096,fp32,0.2930908203125,0.53173828125,0.0,,0,0.0,2000,kink
relu,1.4581338167190552,-0.7797326445579529,-0.03949476033449173,0.8666601777076721,0.4838460286458333,fixed-e4m3,0.22306315104166666,0.5161539713541666,0.00011617902540213738,0.009847005208333334,0,0.5161539713541666,0,kink
tanh,1.25041663646698,-0.6289934714635214,0.04857726084689299,0.7032185196876526,0.9296792348225912,fixed-e4m3,0.2931722005208333,0.4237060546875,0.0001862520002759993,,0,0.0,0,kink
