arrays_that_changed,clipped_count,e3m4_element_fraction,e3m4_final_arrays,e3m4_initial_arrays,e4m3_element_fraction,e4m3_final_arrays,e4m3_initial_arrays,e5m2_element_fraction,e5m2_final_arrays,e5m2_initial_arrays,format_switches,kind,mean_squared_rounding_error,mode,quantized_elements,reselection_opportunities,scale_max,scale_min,seed,target,zeroed_fraction
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,6.330506061346887e-10,fixed-e4m3,19170000,0,0.00048828125,3.725290298461914e-09,0,bump,0.0001569640062597809
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.5203488681083475e-05,fixed-e5m2,19170000,0,1.52587890625e-05,3.814697265625e-06,0,bump,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,2.549985000641843e-09,fixed-e5m2,19170000,0,3.814697265625e-06,1.4551915228366852e-11,0,bump,1.773604590505999e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,8.55664613647487e-06,fixed-hybrid,19170000,0,0.001953125,0.00048828125,0,bump,6.207616066770997e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,2.5105458939694126e-09,fixed-hybrid,19170000,0,3.814697265625e-06,1.4551915228366852e-11,0,bump,1.0432968179447053e-07
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.177135724135237e-06,calibrated,19170000,0,0.0625,0.015625,0,bump,0.0015275952008346374
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,gradient,1.4809338474193672e-10,calibrated,19170000,0,0.015625,4.76837158203125e-07,0,bump,0.02253865414710485
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.177099996437698e-06,adaptive,19170000,304,0.0625,0.015625,0,bump,0.0015275952008346374
1,0,0.9999687010954617,16,16,3.129890453834116e-05,0,0,0.0,0,0,8,gradient,1.5210373255724687e-10,adaptive,19170000,304,0.015625,1.1920928955078125e-07,0,bump,0.02253865414710485
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,9.279541401941296e-06,fixed-e4m3,19170000,0,0.001953125,0.00048828125,0,composition,6.93792383933229e-06
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,gradient,5.95134301722544e-08,fixed-e4m3,19170000,0,0.001953125,1.862645149230957e-09,0,composition,0.0001472091810119979
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,weight,3.889070072029744e-05,fixed-e5m2,19170000,0,3.0517578125e-05,3.814697265625e-06,0,composition,0.0
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,2.5974074713294905e-07,fixed-e5m2,19170000,0,3.0517578125e-05,2.3283064365386963e-10,0,composition,3.6515388628064687e-07
0,0,0.0,0,0,1.0,16,16,0.0,0,0,0,weight,9.224320997647832e-06,fixed-hybrid,19170000,0,0.00390625,0.00048828125,0,composition,6.259780907668232e-06
0,0,0.0,0,0,0.0,0,0,1.0,16,16,0,gradient,2.2656197290839746e-07,fixed-hybrid,19170000,0,3.0517578125e-05,2.3283064365386963e-10,0,composition,0.0
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,weight,2.387781261677987e-06,calibrated,19170000,0,0.0625,0.015625,0,composition,0.0014833072509128848
0,0,1.0,16,16,0.0,0,0,0.0,0,0,0,gradient,1.4412887410245395e-08,calibrated,19170000,0,0.0625,1.9073486328125e-06,0,composition,0.023501199791340636
1,0,0.9999374021909233,15,16,6.259780907668232e-05,1,0,0.0,0,0,3,weight,2.385772779072632e-06,adaptive,19170000,304,0.0625,0.00048828125,0,composition,0.0016377673448095982
1,0,0.9999478351591028,16,16,5.2164840897235264e-05,0,0,0.0,0,0,10,gradient,1.5121105523642343e-08,adaptive,19170000,304,0.0625,2.384185791015625e-07,0,composition,0.024508189880020865
