confirmation_step,detail_amplitude,detail_amplitude_error,detail_component_relative_mse,elapsed_seconds,ever_sustained,final_three_pass,first_crossing_step,gain,gradient_probe_seconds,gradient_rounding_cosine,gradient_rounding_mse,gradient_zeroed_fraction,initial_calibration_seconds,mode,reselection_seconds,seed,selection_seconds,step,target,total_gradient_cosine,total_gradient_mse,training_loss,training_seconds,validation_mse,weight_rounding_gradient_cosine,weight_rounding_output_mse
7500,0.011135523207485676,0.0011355232074856756,0.049162069614470345,56.19158170791343,True,True,6500,1.0,0.01603566575795412,0.998350763665017,4.949725401799402e-12,0.0,0.0,fixed-hybrid,0.0,14,0.0,20000,detail,-0.3800593797105549,1.6375816954307513e-07,4.487445949052926e-06,55.46960222395137,8.310164048452862e-06,-0.38744307646819504,0.0001082126545952633
7000,0.010139739140868187,0.00013973914086818674,0.010292728822876405,59.17596337501891,True,True,6000,1.0,0.018226332729682326,0.9999004105896808,1.1888360890672672e-13,0.03595127265524413,0.005896375048905611,calibrated,0.0,14,0.005896375048905611,20000,detail,-0.2745172505351003,1.469493723019218e-08,8.524213512828283e-07,58.43535139388405,1.0372754104537307e-06,-0.27436926391813804,3.103682320215739e-05
6500,0.00993662141263485,6.337858736515066e-05,0.01714045869215197,59.115327291889116,True,True,5500,1.0,0.017254288541153073,0.9999090371216283,7.23376232965123e-14,0.042388828364860846,0.005896375048905611,adaptive,1.0174172967672348,14,1.0233136718161404,20000,detail,-0.3049381226584976,2.0770395126655427e-08,1.134352487497381e-06,58.34536359878257,1.1147653822263237e-06,-0.3047784009789375,2.588175266282633e-05
6500,0.009985823184251785,1.417681574821493e-05,0.007044744373973625,13.40026079188101,True,True,5500,4.0,0.01689562341198325,0.9999999999999978,0.0,0.0,0.0,fp32,0.0,10,0.0,20000,detail,0.9999999999999978,0.0,2.601533708457282e-07,13.05251535656862,3.8892989095984376e-07,0.9999999999999978,0.0
8500,0.009921707212924957,7.829278707504293e-05,0.020410186978138553,58.02683029184118,True,True,7500,4.0,0.01616741460748017,0.9999287710584946,9.325524846060718e-14,0.045657125878973956,0.0,fixed-e3m4,0.0,10,0.0,20000,detail,-0.4764089707668252,3.6470730651400374e-08,2.2708686628902797e-06,57.2921341212932,2.385171683272347e-06,-0.4748923242655577,2.6189985874225385e-05
10000,0.009627268649637699,0.0003727313503623011,0.09132885469995186,57.88864954095334,True,True,9000,4.0,0.017176292138174176,0.9996121148852022,7.093591229683164e-13,0.0008913538674853917,0.0,fixed-e4m3,0.0,10,0.0,20000,detail,0.4686448627971622,9.56551281052633e-08,5.888139639864676e-06,57.14441993669607,8.186238119378686e-06,0.47346100922815837,5.968515688437037e-05
14500,0.009587795473635197,0.0004122045263648035,0.13462016058638368,55.985827250173315,True,True,13500,4.0,0.016935830004513264,0.9988205086249337,2.111512792558724e-11,0.0,0.0,fixed-e5m2,0.0,10,0.0,20000,detail,0.8637270346370663,9.060129793729977e-07,1.5852034266572446e-05,55.26061781309545,1.672015969234053e-05,0.8651249778666819,0.0003499194572214037
10000,0.009540875442326069,0.00045912455767393133,0.02863969836663026,56.944605000084266,True,True,9000,4.0,0.016809544060379267,0.9988904650787952,2.6930256662610935e-12,0.0,0.0,fixed-hybrid,0.0,10,0.0,20000,detail,0.8162008392837681,4.131085620021412e-08,2.7083249278803123e-06,56.20473025809042,3.295229589639348e-06,0.8155980086153973,6.839309207862243e-05
10500,0.009817716665565968,0.00018228333443403265,0.03071235646757867,63.38325879210606,True,True,9500,4.0,0.018621623516082764,0.9999137491845911,1.4869786062706255e-13,0.04496385064870754,0.005750500131398439,calibrated,0.0,10,0.005750500131398439,20000,detail,0.3593145564023671,6.543653389641659e-08,1.8215062027593376e-06,62.60212233103812,2.007442162721418e-06,0.35860581225834987,4.81282731925603e-05
8000,0.010113094002008438,0.0001130940020084379,0.025026547095189488,57.917500332929194,True,True,7000,4.0,0.016335536260157824,0.9999229182428653,3.7107013748089127e-13,0.05219372090720016,0.005750500131398439,adaptive,1.0064783827401698,10,1.0122288828715682,20000,detail,0.34879029330162253,4.345554240786511e-08,2.551768375269603e-06,57.19677693396807,4.3906761675316375e-06,0.3484893369955015,2.430323183943983e-05
6000,0.009964130818843842,3.5869181156158655e-05,0.0057065485088599105,13.925539457937703,True,True,5000,4.0,0.016164002707228065,0.9999999999999983,0.0,0.0,0.0,fp32,0.0,11,0.0,20000,detail,0.9999999999999983,0.0,3.480333816696657e-07,13.580010589910671,3.259365541907755e-07,0.9999999999999983,0.0
11000,0.01022422406822443,0.00022422406822442988,0.048229992602400094,72.18632220919244,True,True,10000,4.0,0.02186708082444966,0.9999045321298643,3.7595044249438745e-12,0.04050708131128058,0.0,fixed-e3m4,0.0,11,0.0,20000,detail,0.6084275192478145,1.9845931338714614e-08,1.2840673662140034e-05,71.25169820315205,3.6480880680755945e-06,0.6077320154301363,4.642194471671246e-05
10500,0.010418126359581947,0.0004181263595819471,0.030332180861513708,61.2207624160219,True,True,9500,4.0,0.018907833378762007,0.9997096388387151,1.2651996050265097e-12,0.0004951965930474399,0.0,fixed-e4m3,0.0,11,0.0,20000,detail,-0.39011435135455413,2.942840950492672e-07,4.9364048209099565e-06,60.42199410311878,4.205849563732045e-06,-0.3927540820337087,0.0001406600495101884
16500,0.00811363197863102,0.0018863680213689806,0.09198527753525353,72.57314612506889,True,False,15500,4.0,0.020355247892439365,0.9987430417857354,1.4094797473522771e-11,0.0,0.0,fixed-e5m2,0.0,11,0.0,20000,detail,-0.4498874777277581,1.7624130441666209e-07,1.2882896953669842e-05,71.61715533072129,7.553943305538269e-06,-0.45869198378121445,0.0002413805341348052
