activation,family,gain,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step
3.tanh,tanh,1.0,1.0484334230422974,-0.6736588478088379,-0.005666657350957394,0.6458759903907776,0.9231866002082825,fp32,0.25146484375,0.5079345703125,0.0,,10,0.0,1000
3.silu,silu,1.0,1.1117401123046875,-0.6301960945129395,-0.006343275774270296,0.6776211261749268,0.5016587972640991,fp32,0.2974853515625,0.50830078125,0.0,,10,0.0,1000
4.relu,relu,1.0,1.042224645614624,-0.6947652101516724,0.00865456648170948,0.7235181927680969,0.5108642578125,fp32,0.2608642578125,0.4891357421875,0.0,0.0,10,0.4891357421875,1000
4.tanh,tanh,1.0,0.9636432528495789,-0.7509620189666748,-0.030912578105926514,0.6529571413993835,0.9133133888244629,fp32,0.225341796875,0.533935546875,0.0,,10,0.0,1000
4.silu,silu,1.0,1.2481403350830078,-0.6913955807685852,-0.020050540566444397,0.7829709053039551,0.49552321434020996,fp32,0.239990234375,0.52392578125,0.0,,10,0.0,1000
2.relu,relu,1.0,1.069970726966858,-0.6366558074951172,-0.0038658971898257732,0.5712239146232605,0.493896484375,fp32,0.2972412109375,0.506103515625,0.0,0.0,10,0.506103515625,1500
2.tanh,tanh,1.0,1.0023764371871948,-0.6637145280838013,-0.013295849785208702,0.5872097015380859,0.9369117021560669,fp32,0.2894287109375,0.5194091796875,0.0,,10,0.0,1500
2.silu,silu,1.0,0.8842253684997559,-0.5727949142456055,-0.005706103518605232,0.6322536468505859,0.5002858638763428,fp32,0.29296875,0.50927734375,0.0,,10,0.0,1500
3.relu,relu,1.0,1.127180576324463,-0.6620720028877258,0.06650273501873016,0.7358115911483765,0.579833984375,fp32,0.235107421875,0.420166015625,0.0,0.0,10,0.420166015625,1500
3.tanh,tanh,1.0,1.0162451267242432,-0.6716840267181396,-0.005127251148223877,0.6396456360816956,0.9243999123573303,fp32,0.254150390625,0.505615234375,0.0,,10,0.0,1500
3.silu,silu,1.0,1.1226673126220703,-0.6258039474487305,-0.006183952558785677,0.6796507835388184,0.5018762350082397,fp32,0.29736328125,0.50830078125,0.0,,10,0.0,1500
