activation,family,gain,input_abs_max,input_p01,input_p50,input_p99,mean_abs_slope,mode,near_zero_fraction,negative_fraction,nonlinear_output_mse,relu_gate_flip_fraction,seed,small_slope_fraction,step
4.relu,relu,1.0,0.9891000390052795,-0.5935788750648499,-0.008810287341475487,0.6149765253067017,0.48583984375,fixed-e4m3,0.3072509765625,0.51416015625,5.299961776472628e-05,0.012451171875,11,0.51416015625,3500
4.tanh,tanh,1.0,0.8540070056915283,-0.5148541927337646,-0.03374896198511124,0.5742775797843933,0.9496477246284485,fixed-e4m3,0.3223876953125,0.5531005859375,0.00010359419684391469,,11,0.0,3500
4.silu,silu,1.0,0.9172199964523315,-0.6108736991882324,-0.05715201795101166,0.4983418583869934,0.47361546754837036,fixed-e4m3,0.3228759765625,0.5909423828125,2.3449709260603413e-05,,11,0.0,3500
2.relu,relu,1.0,0.7868072986602783,-0.568321704864502,0.005618519149720669,0.5984062552452087,0.5069580078125,fixed-e4m3,0.277587890625,0.4930419921875,3.7383368180599064e-05,0.0089111328125,11,0.4930419921875,4000
2.tanh,tanh,1.0,0.9091634154319763,-0.5505096912384033,-0.039515621960163116,0.4716801941394806,0.9559163451194763,fixed-e4m3,0.3524169921875,0.5714111328125,7.991046004462987e-05,,11,0.0,4000
2.silu,silu,1.0,0.8779228925704956,-0.4915764033794403,0.01594049111008644,0.5321008563041687,0.5099497437477112,fixed-e4m3,0.3360595703125,0.469482421875,2.5557777917128988e-05,,11,0.0,4000
3.relu,relu,1.0,0.8661943078041077,-0.6062459945678711,-0.05697496607899666,0.49543625116348267,0.4111328125,fixed-e4m3,0.296875,0.5888671875,3.71730093320366e-05,0.0101318359375,11,0.5888671875,4000
3.tanh,tanh,1.0,0.8888564705848694,-0.5434809327125549,0.018597986549139023,0.5772109627723694,0.9432982206344604,fixed-e4m3,0.2974853515625,0.4708251953125,8.000477100722492e-05,,11,0.0,4000
3.silu,silu,1.0,0.8416839241981506,-0.5787145495414734,0.018749292939901352,0.573889434337616,0.5069708824157715,fixed-e4m3,0.3013916015625,0.4696044921875,2.983953345392365e-05,,11,0.0,4000
4.relu,relu,1.0,0.9462597370147705,-0.5911179780960083,-0.016527613624930382,0.6001273393630981,0.4722900390625,fixed-e4m3,0.3155517578125,0.5277099609375,4.0636070480104536e-05,0.0135498046875,11,0.5277099609375,4000
4.tanh,tanh,1.0,0.8652891516685486,-0.5246889591217041,-0.026883553713560104,0.5713728666305542,0.9496394991874695,fixed-e4m3,0.3258056640625,0.5443115234375,8.612559759058058e-05,,11,0.0,4000
4.silu,silu,1.0,0.9097066521644592,-0.6061501502990723,-0.053605757653713226,0.4925019145011902,0.47442102432250977,fixed-e4m3,0.3275146484375,0.585693359375,2.6738714950624853e-05,,11,0.0,4000
2.relu,relu,1.0,0.7955218553543091,-0.5605627298355103,-0.0018365741707384586,0.5855011343955994,0.49658203125,fixed-e4m3,0.28515625,0.50341796875,4.119165532756597e-05,0.011474609375,11,0.50341796875,4500
2.tanh,tanh,1.0,0.8946646451950073,-0.5506957769393921,-0.04022181034088135,0.47239166498184204,0.9563406109809875,fixed-e4m3,0.3546142578125,0.57275390625,7.290898793144152e-05,,11,0.0,4500
2.silu,silu,1.0,0.8666253089904785,-0.488233357667923,0.014963185414671898,0.5284464955329895,0.5102458596229553,fixed-e4m3,0.337158203125,0.4693603515625,2.8587559427251108e-05,,11,0.0,4500
3.relu,relu,1.0,0.8706403374671936,-0.6006944179534912,-0.06002645939588547,0.49258852005004883,0.4007568359375,fixed-e4m3,0.3046875,0.5992431640625,3.8157784729264677e-05,0.011962890625,11,0.5992431640625,4500
3.tanh,tanh,1.0,0.8660019040107727,-0.539151668548584,0.01970990188419819,0.5672091841697693,0.9451507329940796,fixed-e4m3,0.3033447265625,0.46923828125,8.320732740685344e-05,,11,0.0,4500
3.silu,silu,1.0,0.8329604268074036,-0.5719234347343445,0.019405893981456757,0.5711042284965515,0.5075231194496155,fixed-e4m3,0.3067626953125,0.4697265625,2.7422742277849466e-05,,11,0.0,4500
4.relu,relu,1.0,0.9523723125457764,-0.5789438486099243,-0.023552384227514267,0.6108133792877197,0.4620361328125,fixed-e4m3,0.32080078125,0.5379638671875,4.53153952548746e-05,0.01318359375,11,0.5379638671875,4500
4.tanh,tanh,1.0,0.8168713450431824,-0.5190975666046143,-0.024724416434764862,0.5517975091934204,0.9518545866012573,fixed-e4m3,0.3369140625,0.540771484375,9.806260641198605e-05,,11,0.0,4500
4.silu,silu,1.0,0.9050564169883728,-0.5982932448387146,-0.05738291144371033,0.4841568171977997,0.47406119108200073,fixed-e4m3,0.326416015625,0.5970458984375,2.2107018594397232e-05,,11,0.0,4500
2.relu,relu,1.0,0.7932973504066467,-0.5599153637886047,-0.00966314785182476,0.5899791121482849,0.483642578125,fixed-e4m3,0.293212890625,0.516357421875,3.192288932041265e-05,0.008544921875,11,0.516357421875,5000
2.tanh,tanh,1.0,0.8756169080734253,-0.5454679727554321,-0.03964667767286301,0.4624010920524597,0.9571923017501831,fixed-e4m3,0.361083984375,0.5709228515625,7.813217234797776e-05,,11,0.0,5000
2.silu,silu,1.0,0.8715682625770569,-0.4879893958568573,0.014841124415397644,0.532035231590271,0.5098848342895508,fixed-e4m3,0.341796875,0.4698486328125,2.303326800756622e-05,,11,0.0,5000
3.relu,relu,1.0,0.8417488932609558,-0.5975328683853149,-0.06608334928750992,0.4833689033985138,0.3907470703125,fixed-e4m3,0.303955078125,0.6092529296875,3.4210679586976767e-05,0.0108642578125,11,0.6092529296875,5000
3.tanh,tanh,1.0,0.8499704599380493,-0.5351788401603699,0.014745484106242657,0.553448498249054,0.9466343522071838,fixed-e4m3,0.311767578125,0.476806640625,9.18967998586595e-05,,11,0.0,5000
3.silu,silu,1.0,0.8326438665390015,-0.5626929998397827,0.017310846596956253,0.5634387731552124,0.5070481300354004,fixed-e4m3,0.315185546875,0.4720458984375,2.9847687983419746e-05,,11,0.0,5000
4.relu,relu,1.0,0.9123579263687134,-0.5605922341346741,-0.025713369250297546,0.5981603264808655,0.45263671875,fixed-e4m3,0.3294677734375,0.54736328125,3.311793625471182e-05,0.012939453125,11,0.54736328125,5000
4.tanh,tanh,1.0,0.8230772018432617,-0.5037120580673218,-0.020790353417396545,0.5344532132148743,0.9544847011566162,fixed-e4m3,0.34716796875,0.536376953125,9.455312829231843e-05,,11,0.0,5000
4.silu,silu,1.0,0.8857542872428894,-0.5882380604743958,-0.05768224596977234,0.4727795720100403,0.47349515557289124,fixed-e4m3,0.331787109375,0.602294921875,2.523111652408261e-05,,11,0.0,5000
2.relu,relu,1.0,0.810568630695343,-0.5525158643722534,-0.020192056894302368,0.5852486491203308,0.4688720703125,fixed-e4m3,0.2974853515625,0.5311279296875,3.377396933501586e-05,0.0098876953125,11,0.5311279296875,5500
2.tanh,tanh,1.0,0.8417456746101379,-0.5507158041000366,-0.03245217725634575,0.45195475220680237,0.9569704532623291,fixed-e4m3,0.3612060546875,0.5601806640625,5.406055424828082e-05,,11,0.0,5500
2.silu,silu,1.0,0.8767635822296143,-0.4938600957393646,0.013377515599131584,0.5336376428604126,0.5089071393013,fixed-e4m3,0.3441162109375,0.476806640625,1.9741017240448855e-05,,11,0.0,5500
3.relu,relu,1.0,0.8494895696640015,-0.5870075821876526,-0.07628320157527924,0.47405916452407837,0.3729248046875,fixed-e4m3,0.302490234375,0.6270751953125,4.073246236657724e-05,0.01025390625,11,0.6270751953125,5500
3.tanh,tanh,1.0,0.8367860317230225,-0.5520331859588623,0.008951637893915176,0.5346497297286987,0.9482957124710083,fixed-e4m3,0.3212890625,0.484375,7.577036740258336e-05,,11,0.0,5500
3.silu,silu,1.0,0.8156956434249878,-0.5521005392074585,0.017248231917619705,0.5384193062782288,0.5065931081771851,fixed-e4m3,0.3271484375,0.4708251953125,2.2090905986260623e-05,,11,0.0,5500
4.relu,relu,1.0,0.8575292825698853,-0.5686126947402954,-0.04287797957658768,0.5930285453796387,0.4232177734375,fixed-e4m3,0.3349609375,0.5767822265625,3.667311466415413e-05,0.010498046875,11,0.5767822265625,5500
4.tanh,tanh,1.0,0.8243070840835571,-0.49774369597435,-0.024317819625139236,0.5130054354667664,0.9579651355743408,fixed-e4m3,0.36572265625,0.5445556640625,8.309040276799351e-05,,11,0.0,5500
4.silu,silu,1.0,0.8538882732391357,-0.5775684118270874,-0.053030453622341156,0.4667064845561981,0.4736965000629425,fixed-e4m3,0.34765625,0.5970458984375,2.2450321921496652e-05,,11,0.0,5500
2.relu,relu,1.0,0.8051440715789795,-0.5490411520004272,-0.02671254426240921,0.5783627033233643,0.458984375,fixed-e4m3,0.3006591796875,0.541015625,3.5115408536512405e-05,0.01171875,11,0.541015625,6000
2.tanh,tanh,1.0,0.8106176853179932,-0.5488178730010986,-0.03265758603811264,0.4469965994358063,0.957633376121521,fixed-e4m3,0.365966796875,0.5615234375,6.625118112424389e-05,,11,0.0,6000
2.silu,silu,1.0,0.8759040832519531,-0.5000088214874268,0.012265077792108059,0.5294395089149475,0.5080963969230652,fixed-e4m3,0.3447265625,0.476318359375,2.042810774582904e-05,,11,0.0,6000
3.relu,relu,1.0,0.8520797491073608,-0.5851429104804993,-0.08001227676868439,0.4608447849750519,0.3641357421875,fixed-e4m3,0.309326171875,0.6358642578125,2.5176974304486066e-05,0.0096435546875,11,0.6358642578125,6000
3.tanh,tanh,1.0,0.8080312609672546,-0.5452842712402344,0.007966392673552036,0.5268000364303589,0.9502453804016113,fixed-e4m3,0.3302001953125,0.48583984375,8.822099334793165e-05,,11,0.0,6000
3.silu,silu,1.0,0.8061216473579407,-0.5417416095733643,0.01933552697300911,0.5269497036933899,0.5074774026870728,fixed-e4m3,0.3365478515625,0.4664306640625,2.2542995793628506e-05,,11,0.0,6000
4.relu,relu,1.0,0.8254212141036987,-0.5539899468421936,-0.044673241674900055,0.5784288048744202,0.4132080078125,fixed-e4m3,0.343505859375,0.5867919921875,3.743656270671636e-05,0.0123291015625,11,0.5867919921875,6000
4.tanh,tanh,1.0,0.8099424839019775,-0.4888981878757477,-0.02215960994362831,0.5037083029747009,0.9610488414764404,fixed-e4m3,0.3878173828125,0.54296875,5.485854126163758e-05,,11,0.0,6000
4.silu,silu,1.0,0.8353323340415955,-0.5677350163459778,-0.05178285390138626,0.4547584652900696,0.47365015745162964,fixed-e4m3,0.3604736328125,0.5931396484375,2.08515612030169e-05,,11,0.0,6000
2.relu,relu,1.0,0.7921954393386841,-0.5413883328437805,-0.03546097129583359,0.5775242447853088,0.4443359375,fixed-e4m3,0.3040771484375,0.5556640625,2.9856566470698453e-05,0.0111083984375,11,0.5556640625,6500
2.tanh,tanh,1.0,0.7849776148796082,-0.5414397716522217,-0.032214514911174774,0.4481375813484192,0.958066999912262,fixed-e4m3,0.3675537109375,0.5592041015625,5.867699655937031e-05,,11,0.0,6500
2.silu,silu,1.0,0.8729652762413025,-0.5081930160522461,0.01497021596878767,0.5299718976020813,0.5087454319000244,fixed-e4m3,0.3458251953125,0.4722900390625,2.6531584808253683e-05,,11,0.0,6500
3.relu,relu,1.0,0.8368674516677856,-0.5777007341384888,-0.08267232775688171,0.44638848304748535,0.3587646484375,fixed-e4m3,0.314697265625,0.6412353515625,2.325464811292477e-05,0.01025390625,11,0.6412353515625,6500
3.tanh,tanh,1.0,0.8012821078300476,-0.5391602516174316,0.004799142945557833,0.5166958570480347,0.9517792463302612,fixed-e4m3,0.3377685546875,0.4915771484375,9.204936941387132e-05,,11,0.0,6500
3.silu,silu,1.0,0.8199796080589294,-0.5337851047515869,0.021098079159855843,0.5174856185913086,0.5080945491790771,fixed-e4m3,0.3375244140625,0.4649658203125,2.2840795281808823e-05,,11,0.0,6500
4.relu,relu,1.0,0.8094582557678223,-0.5560483336448669,-0.050013452768325806,0.5714468359947205,0.4051513671875,fixed-e4m3,0.3433837890625,0.5948486328125,3.4085322113242e-05,0.0126953125,11,0.5948486328125,6500
4.tanh,tanh,1.0,0.8084446787834167,-0.48767295479774475,-0.02112051099538803,0.5000296831130981,0.9621388912200928,fixed-e4m3,0.403076171875,0.543212890625,6.366707384586334e-05,,11,0.0,6500
4.silu,silu,1.0,0.8217983841896057,-0.5650670528411865,-0.05042071267962456,0.44720304012298584,0.4731675982475281,fixed-e4m3,0.365478515625,0.595703125,2.0852126908721402e-05,,11,0.0,6500
2.relu,relu,1.0,0.7956382632255554,-0.5434643030166626,-0.03495600074529648,0.5760189294815063,0.4473876953125,fixed-e4m3,0.3072509765625,0.5526123046875,3.0702554795425385e-05,0.010009765625,11,0.5526123046875,7000
2.tanh,tanh,1.0,0.7756118178367615,-0.537939727306366,-0.027556564658880234,0.471586138010025,0.9566682577133179,fixed-e4m3,0.363037109375,0.551513671875,5.9959726058878005e-05,,11,0.0,7000
2.silu,silu,1.0,0.8581637740135193,-0.49473708868026733,0.011902702040970325,0.5291245579719543,0.5077454447746277,fixed-e4m3,0.3447265625,0.4783935546875,2.4577615477028303e-05,,11,0.0,7000
3.relu,relu,1.0,0.8426131010055542,-0.582099199295044,-0.08485300838947296,0.4339104890823364,0.34912109375,fixed-e4m3,0.3232421875,0.65087890625,2.627882349770516e-05,0.0098876953125,11,0.65087890625,7000
3.tanh,tanh,1.0,0.8028401732444763,-0.532344400882721,0.0026124687865376472,0.5158962607383728,0.9538733959197998,fixed-e4m3,0.3502197265625,0.4949951171875,8.038646046770737e-05,,11,0.0,7000
3.silu,silu,1.0,0.7770950198173523,-0.5299112200737,0.02139444090425968,0.49903926253318787,0.5069279670715332,fixed-e4m3,0.3472900390625,0.4603271484375,2.0243973267497495e-05,,11,0.0,7000
4.relu,relu,1.0,0.7848222851753235,-0.5339236855506897,-0.052658382803201675,0.5591418147087097,0.398193359375,fixed-e4m3,0.3497314453125,0.601806640625,3.0420322218560614e-05,0.0142822265625,11,0.601806640625,7000
4.tanh,tanh,1.0,0.7643222808837891,-0.4832058548927307,-0.01967458426952362,0.4968359172344208,0.9637585878372192,fixed-e4m3,0.4149169921875,0.541259765625,8.056288061197847e-05,,11,0.0,7000
4.silu,silu,1.0,0.8074595332145691,-0.5514724850654602,-0.04535062983632088,0.4332389831542969,0.4752157926559448,fixed-e4m3,0.3817138671875,0.5894775390625,1.8030235878541134e-05,,11,0.0,7000
2.relu,relu,1.0,0.8017117977142334,-0.5376752018928528,-0.034723613411188126,0.5768831968307495,0.445068359375,fixed-e4m3,0.3115234375,0.554931640625,3.3886033634189516e-05,0.0103759765625,11,0.554931640625,7500
2.tanh,tanh,1.0,0.7691004872322083,-0.5402628779411316,-0.02877628616988659,0.4847446084022522,0.9562292695045471,fixed-e4m3,0.3648681640625,0.5550537109375,6.459253199864179e-05,,11,0.0,7500
2.silu,silu,1.0,0.8586806654930115,-0.49593546986579895,0.011003725230693817,0.5244271755218506,0.5072189569473267,fixed-e4m3,0.350341796875,0.4796142578125,2.2272080968832597e-05,,11,0.0,7500
3.relu,relu,1.0,0.8110862374305725,-0.5729577541351318,-0.08550365269184113,0.422769159078598,0.3482666015625,fixed-e4m3,0.3297119140625,0.6517333984375,2.8497845050878823e-05,0.0111083984375,11,0.6517333984375,7500
3.tanh,tanh,1.0,0.7954137921333313,-0.5324307084083557,0.00332761206664145,0.5122869610786438,0.9534264802932739,fixed-e4m3,0.3480224609375,0.493896484375,9.776842489372939e-05,,11,0.0,7500
3.silu,silu,1.0,0.7848023772239685,-0.5338343381881714,0.025363799184560776,0.5002864599227905,0.5077372193336487,fixed-e4m3,0.346435546875,0.45654296875,2.1438389012473635e-05,,11,0.0,7500
4.relu,relu,1.0,0.7591217756271362,-0.5232794880867004,-0.053380243480205536,0.5507999062538147,0.397216796875,fixed-e4m3,0.3470458984375,0.602783203125,2.859385494957678e-05,0.0133056640625,11,0.602783203125,7500
4.tanh,tanh,1.0,0.7284053564071655,-0.4697674512863159,-0.018980640918016434,0.48973360657691956,0.964950680732727,fixed-e4m3,0.41259765625,0.5411376953125,8.715873264009133e-05,,11,0.0,7500
4.silu,silu,1.0,0.7859922647476196,-0.5469698309898376,-0.046836674213409424,0.42304927110671997,0.47470301389694214,fixed-e4m3,0.39013671875,0.5980224609375,1.8479327991371974e-05,,11,0.0,7500
2.relu,relu,1.0,0.7841216921806335,-0.5327272415161133,-0.03931262716650963,0.5717068314552307,0.4381103515625,fixed-e4m3,0.30712890625,0.5618896484375,3.118095628451556e-05,0.0096435546875,11,0.5618896484375,8000
2.tanh,tanh,1.0,0.8055458664894104,-0.5386924147605896,-0.028244735673069954,0.4920840561389923,0.9561136960983276,fixed-e4m3,0.367919921875,0.5560302734375,6.141381163615733e-05,,11,0.0,8000
2.silu,silu,1.0,0.8517903089523315,-0.4904569089412689,0.008523328229784966,0.5220967531204224,0.5061923861503601,fixed-e4m3,0.349609375,0.4862060546875,2.6612699002726004e-05,,11,0.0,8000
3.relu,relu,1.0,0.796099066734314,-0.5574111938476562,-0.08828836679458618,0.40961506962776184,0.342529296875,fixed-e4m3,0.3280029296875,0.657470703125,3.379641566425562e-05,0.013916015625,11,0.657470703125,8000
3.tanh,tanh,1.0,0.7760714292526245,-0.5239494442939758,-0.0011214995756745338,0.5061213970184326,0.9543504118919373,fixed-e4m3,0.34716796875,0.5028076171875,8.559625712223351e-05,,11,0.0,8000
3.silu,silu,1.0,0.7793667316436768,-0.5448773503303528,0.02637995220720768,0.4961782395839691,0.5080412030220032,fixed-e4m3,0.3487548828125,0.449951171875,2.218871668446809e-05,,11,0.0,8000
4.relu,relu,1.0,0.7263535857200623,-0.51424640417099,-0.05495395511388779,0.5363550782203674,0.3919677734375,fixed-e4m3,0.3548583984375,0.6080322265625,4.2431140172993764e-05,0.01806640625,11,0.6080322265625,8000
4.tanh,tanh,1.0,0.7076642513275146,-0.44318631291389465,-0.017696663737297058,0.47892075777053833,0.9672441482543945,fixed-e4m3,0.425537109375,0.5406494140625,7.101913797669113e-05,,11,0.0,8000
4.silu,silu,1.0,0.7664074897766113,-0.5310007929801941,-0.04477614909410477,0.4186530113220215,0.4767444431781769,fixed-e4m3,0.3934326171875,0.5877685546875,1.9444556528469548e-05,,11,0.0,8000
2.relu,relu,1.0,0.774142861366272,-0.5295565128326416,-0.04053178057074547,0.565156102180481,0.433349609375,fixed-e4m3,0.3046875,0.566650390625,3.120417386526242e-05,0.009033203125,11,0.566650390625,8500
2.tanh,tanh,1.0,0.8048714399337769,-0.5374772548675537,-0.031076179817318916,0.48762187361717224,0.9570509195327759,fixed-e4m3,0.37158203125,0.5592041015625,7.52337509766221e-05,,11,0.0,8500
2.silu,silu,1.0,0.8540515303611755,-0.48875105381011963,0.006718717981129885,0.5204163789749146,0.5053352117538452,fixed-e4m3,0.3458251953125,0.4884033203125,2.8725213269353844e-05,,11,0.0,8500
3.relu,relu,1.0,0.8199530839920044,-0.5576013922691345,-0.09080316126346588,0.41172704100608826,0.3382568359375,fixed-e4m3,0.325439453125,0.6617431640625,3.128943717456423e-05,0.011962890625,11,0.6617431640625,8500
3.tanh,tanh,1.0,0.738135814666748,-0.5300168395042419,-0.010456654243171215,0.5032569766044617,0.955076277256012,fixed-e4m3,0.348876953125,0.5206298828125,9.134795254794881e-05,,11,0.0,8500
3.silu,silu,1.0,0.728482186794281,-0.5399429798126221,0.026243697851896286,0.48681846261024475,0.5068238973617554,fixed-e4m3,0.3477783203125,0.4530029296875,2.2689684556098655e-05,,11,0.0,8500
4.relu,relu,1.0,0.6853137612342834,-0.49999621510505676,-0.05454234033823013,0.5114462971687317,0.377685546875,fixed-e4m3,0.3765869140625,0.622314453125,4.652829375118017e-05,0.01904296875,11,0.622314453125,8500
4.tanh,tanh,1.0,0.6866818070411682,-0.3994990289211273,-0.0130698811262846,0.46995535492897034,0.9704733490943909,fixed-e4m3,0.4482421875,0.5323486328125,7.371800893452018e-05,,11,0.0,8500
4.silu,silu,1.0,0.7672873735427856,-0.51410973072052,-0.045248471200466156,0.42259442806243896,0.47673362493515015,fixed-e4m3,0.387451171875,0.5899658203125,2.1616469894070178e-05,,11,0.0,8500
2.relu,relu,1.0,0.7894800305366516,-0.5234002470970154,-0.04635563865303993,0.5732226371765137,0.423583984375,fixed-e4m3,0.3118896484375,0.576416015625,2.8658612791332416e-05,0.0093994140625,11,0.576416015625,9000
2.tanh,tanh,1.0,0.7610526084899902,-0.5411543250083923,-0.03060239553451538,0.47693151235580444,0.9578258991241455,fixed-e4m3,0.3828125,0.561767578125,5.408770084613934e-05,,11,0.0,9000
2.silu,silu,1.0,0.8572654128074646,-0.4911597967147827,0.0057265195064246655,0.5182121992111206,0.5057001709938049,fixed-e4m3,0.34423828125,0.48828125,2.1821608243044466e-05,,11,0.0,9000
3.relu,relu,1.0,0.7901649475097656,-0.5606317520141602,-0.093586266040802,0.3930722177028656,0.3309326171875,fixed-e4m3,0.328857421875,0.6690673828125,2.7456551833893172e-05,0.0101318359375,11,0.6690673828125,9000
3.tanh,tanh,1.0,0.7252755165100098,-0.531836748123169,-0.011410217732191086,0.49590983986854553,0.9558849334716797,fixed-e4m3,0.3525390625,0.5225830078125,8.13443839433603e-05,,11,0.0,9000
3.silu,silu,1.0,0.7209450006484985,-0.538061261177063,0.02479274570941925,0.47619175910949707,0.5064558386802673,fixed-e4m3,0.3590087890625,0.45263671875,2.1085199477965944e-05,,11,0.0,9000
4.relu,relu,1.0,0.6752222776412964,-0.4968775808811188,-0.058003224432468414,0.505013108253479,0.37158203125,fixed-e4m3,0.376708984375,0.62841796875,3.6375924537424e-05,0.0157470703125,11,0.62841796875,9000
4.tanh,tanh,1.0,0.6550595164299011,-0.3910156488418579,-0.011002618819475174,0.4542684257030487,0.9717485904693604,fixed-e4m3,0.46240234375,0.5301513671875,7.08312654751353e-05,,11,0.0,9000
4.silu,silu,1.0,0.75307697057724,-0.5035962462425232,-0.04690442234277725,0.4186084270477295,0.4764595627784729,fixed-e4m3,0.406494140625,0.597412109375,2.072811548714526e-05,,11,0.0,9000
2.relu,relu,1.0,0.7882677912712097,-0.530261218547821,-0.053038351237773895,0.5728788375854492,0.4122314453125,fixed-e4m3,0.3126220703125,0.5877685546875,2.5093519070651382e-05,0.008544921875,11,0.5877685546875,9500
2.tanh,tanh,1.0,0.7518811821937561,-0.5355719327926636,-0.030014194548130035,0.46810516715049744,0.9585737586021423,fixed-e4m3,0.386962890625,0.56396484375,6.894068064866588e-05,,11,0.0,9500
2.silu,silu,1.0,0.8692943453788757,-0.48608335852622986,0.007275080308318138,0.5130422711372375,0.5060596466064453,fixed-e4m3,0.348388671875,0.4852294921875,2.1474312234204262e-05,,11,0.0,9500
3.relu,relu,1.0,0.7568543553352356,-0.5535970330238342,-0.096756711602211,0.3878248929977417,0.3189697265625,fixed-e4m3,0.336669921875,0.6810302734375,3.385170202818699e-05,0.011962890625,11,0.6810302734375,9500
3.tanh,tanh,1.0,0.7222478985786438,-0.5325666069984436,-0.016300562769174576,0.48752322793006897,0.9566105604171753,fixed-e4m3,0.3553466796875,0.530517578125,8.349384734174237e-05,,11,0.0,9500
3.silu,silu,1.0,0.7141117453575134,-0.5309768319129944,0.02482946589589119,0.4664478302001953,0.5057286024093628,fixed-e4m3,0.3651123046875,0.454833984375,1.8978720618179068e-05,,11,0.0,9500
4.relu,relu,1.0,0.6588947176933289,-0.5060860514640808,-0.06388126313686371,0.4937855005264282,0.3646240234375,fixed-e4m3,0.3653564453125,0.6353759765625,4.253295992384665e-05,0.019287109375,11,0.6353759765625,9500
4.tanh,tanh,1.0,0.6488991975784302,-0.3784198760986328,-0.009737520478665829,0.44726628065109253,0.9728650450706482,fixed-e4m3,0.4681396484375,0.524658203125,7.558061770396307e-05,,11,0.0,9500
4.silu,silu,1.0,0.7341285347938538,-0.49853044748306274,-0.04529062658548355,0.41321128606796265,0.476961225271225,fixed-e4m3,0.4168701171875,0.594970703125,1.874289955594577e-05,,11,0.0,9500
2.relu,relu,1.0,0.791118860244751,-0.5220153331756592,-0.05697634816169739,0.5726328492164612,0.4033203125,fixed-e4m3,0.3179931640625,0.5966796875,2.9291688406374305e-05,0.009765625,11,0.5966796875,10000
2.tanh,tanh,1.0,0.7577446103096008,-0.5403153300285339,-0.03140106424689293,0.4680376946926117,0.9585298895835876,fixed-e4m3,0.390869140625,0.566162109375,6.388590554706752e-05,,11,0.0,10000
2.silu,silu,1.0,0.8874276876449585,-0.49329423904418945,0.00705023854970932,0.5231388807296753,0.5063860416412354,fixed-e4m3,0.3455810546875,0.4873046875,2.145819780707825e-05,,11,0.0,10000
3.relu,relu,1.0,0.7629966139793396,-0.557030975818634,-0.09991569817066193,0.37988513708114624,0.3065185546875,fixed-e4m3,0.3397216796875,0.6934814453125,2.660359132278245e-05,0.0133056640625,11,0.6934814453125,10000
3.tanh,tanh,1.0,0.726616382598877,-0.5328457355499268,-0.01829061470925808,0.4895181953907013,0.9562302827835083,fixed-e4m3,0.3546142578125,0.532958984375,6.711846799589694e-05,,11,0.0,10000
3.silu,silu,1.0,0.7181306481361389,-0.5357530117034912,0.023061025887727737,0.4618847966194153,0.5044623017311096,fixed-e4m3,0.3621826171875,0.456787109375,1.593972774571739e-05,,11,0.0,10000
4.relu,relu,1.0,0.6682483553886414,-0.4913308918476105,-0.06586243212223053,0.4999098479747772,0.3564453125,fixed-e4m3,0.369384765625,0.6435546875,4.187179001746699e-05,0.0155029296875,11,0.6435546875,10000
4.tanh,tanh,1.0,0.6436670422554016,-0.38452035188674927,-0.011127341538667679,0.44695988297462463,0.9728192090988159,fixed-e4m3,0.4652099609375,0.52880859375,8.212821558117867e-05,,11,0.0,10000
4.silu,silu,1.0,0.7341893315315247,-0.49969854950904846,-0.045556481927633286,0.41147178411483765,0.4767923951148987,fixed-e4m3,0.414794921875,0.5953369140625,2.0022891476401128e-05,,11,0.0,10000
2.relu,relu,1.0,0.7889379262924194,-0.5216509699821472,-0.05755291506648064,0.5676761269569397,0.3997802734375,fixed-e4m3,0.322509765625,0.6002197265625,2.5608598662074655e-05,0.0103759765625,11,0.6002197265625,10500
2.tanh,tanh,1.0,0.7669652700424194,-0.5439450740814209,-0.0321417935192585,0.45874956250190735,0.9590940475463867,fixed-e4m3,0.394775390625,0.5692138671875,5.7505021686665714e-05,,11,0.0,10500
2.silu,silu,1.0,0.8918024301528931,-0.485060453414917,0.008662254549562931,0.5222927927970886,0.5069411993026733,fixed-e4m3,0.3546142578125,0.48291015625,2.3793480067979544e-05,,11,0.0,10500
3.relu,relu,1.0,0.7613077163696289,-0.5589732527732849,-0.10345345735549927,0.3746199905872345,0.299072265625,fixed-e4m3,0.34130859375,0.700927734375,3.060568269575015e-05,0.013916015625,11,0.700927734375,10500
3.tanh,tanh,1.0,0.7314534187316895,-0.5365692377090454,-0.017057325690984726,0.48996415734291077,0.9566168785095215,fixed-e4m3,0.3587646484375,0.5308837890625,7.286589971045032e-05,,11,0.0,10500
3.silu,silu,1.0,0.7169111967086792,-0.5237579941749573,0.022134041413664818,0.46091923117637634,0.5047711133956909,fixed-e4m3,0.3699951171875,0.4591064453125,2.043550557573326e-05,,11,0.0,10500
4.relu,relu,1.0,0.6621838212013245,-0.4893350601196289,-0.06910507380962372,0.4997139871120453,0.354248046875,fixed-e4m3,0.3673095703125,0.645751953125,3.0465282179648057e-05,0.0145263671875,11,0.645751953125,10500
4.tanh,tanh,1.0,0.6319301724433899,-0.36913037300109863,-0.010729954577982426,0.4364836812019348,0.974134087562561,fixed-e4m3,0.4765625,0.5274658203125,8.184806938515976e-05,,11,0.0,10500
4.silu,silu,1.0,0.7159709334373474,-0.4953770339488983,-0.04447571933269501,0.40775343775749207,0.4768257737159729,fixed-e4m3,0.423583984375,0.600341796875,1.6299618437187746e-05,,11,0.0,10500
