array,elements,format,gain,margin,mode,mse_e3m4,mse_e4m3,mse_e5m2,seed,step
gradient:4.expand.bias,48,e3m4,1.0,0.7306769120431169,adaptive,6.17996050885905e-12,2.2946270799659122e-11,5.71930455523866e-11,10,100
gradient:4.project.weight,1536,e3m4,1.0,0.7616353210418325,adaptive,2.3200473906618047e-12,9.733184466768116e-12,3.7506074885449564e-11,10,100
gradient:4.project.bias,32,e3m4,1.0,0.7676359759355159,adaptive,8.949903050578006e-12,3.8516732900503945e-11,2.7604551278596017e-10,10,100
gradient:5.weight,32,e3m4,1.0,0.7753876748786347,adaptive,1.626683101153343e-09,7.242180945655558e-09,1.673457936850566e-08,10,100
gradient:5.bias,1,e3m4,1.0,0.9693938413785819,adaptive,3.3036422040924954e-10,1.0794043920887928e-08,1.9669006907625883e-08,10,100
weight:1.weight,576,e3m4,1.0,0.7020315258067448,adaptive,3.097656974813968e-06,1.0395921861199659e-05,4.575998438656795e-05,10,200
weight:1.bias,32,e3m4,1.0,0.6684422613388852,adaptive,2.98149016249084e-06,8.992370905081548e-06,5.215589577085623e-05,10,200
weight:2.expand.weight,1536,e3m4,1.0,0.7577472958258533,adaptive,1.9311103833044974e-06,7.971470906332141e-06,3.2415309296390475e-05,10,200
weight:2.expand.bias,48,e3m4,1.0,0.6738411066773954,adaptive,1.4998229368453258e-06,4.598442561435378e-06,3.179778665044819e-05,10,200
weight:2.project.weight,1536,e3m4,1.0,0.7581600594659882,adaptive,1.3526538916369066e-06,5.593178234538444e-06,2.2101512073489864e-05,10,200
weight:2.project.bias,32,e3m4,1.0,0.863338425952792,adaptive,1.3110360331709825e-06,9.593304060131065e-06,2.343111769996978e-05,10,200
weight:3.expand.weight,1536,e3m4,1.0,0.7495143732130372,adaptive,1.896617178475004e-06,7.571760514977854e-06,3.000329795478577e-05,10,200
weight:3.expand.bias,48,e3m4,1.0,0.4636847673802295,adaptive,2.8747626193312827e-06,5.360210645684555e-06,4.850591259257774e-05,10,200
weight:3.project.weight,1536,e3m4,1.0,0.7397561459423815,adaptive,1.3627928301060474e-06,5.236599477213099e-06,1.953946183545076e-05,10,200
weight:3.project.bias,32,e3m4,1.0,0.878206913778769,adaptive,8.936522664407391e-07,7.337463021648574e-06,1.3352401759845492e-05,10,200
